gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
407042,D015212,2015,4851,1
407043,D015212,2012,5579,1
407044,D015212,2012,5579,1
407045,D015212,2012,5579,1
407046,D015212,2012,4790,1
407047,D015212,2012,4790,1
407051,D015212,2012,4790,1
407054,D015212,2008,6774,1
414062,D015212,2012,4790,1
440738,D015212,2007,55054,1
442900,D015212,2015,4851,1
442904,D015212,2010,7148,1
574455,D015212,2012,5328,1
574537,D015212,2013,8854,1
643246,D015212,2007,55054,1
653361,D015212,2012,5579,1
654364,D015212,2012,114,1
727897,D015212,2012,4790,1
729230,D015212,2012,3717,1
100132074,D015212,2008,6774,1
100134444,D015212,2016,2776,1
100137049,D015212,2011,2768,1
100271849,D015212,2015,4772,1
100289462,D015212,2012,4790,1
100302238,D015212,2012,5579,1
100302282,D015212,2012,5579,1
100526794,D015212,2008,144811,1
100529261,D015212,2015,79947,1
100861540,D015212,2013,8854,1
102723407,D015212,2009,2212,1
102723996,D015212,2015,940,1
102800317,D015212,2010,8863,1
109703458,D015212,2016,2194,1
110117499,D015212,2012,3460,1
123464521,D015212,2016,2776,1
124905743,D015212,2012,5579,1
124906748,D015212,2012,4790,1
9,D015212,2008,144811,2
10,D015212,2008,144811,2
19,D015212,2009,2212,2
26,D015212,2008,144811,2
27,D015212,2008,6774,2
38,D015212,2015,50,2
39,D015212,2015,50,2
48,D015212,2015,50,2
52,D015212,2008,6774,2
53,D015212,2012,114,2
70,D015212,2015,4772,2
95,D015212,2016,4843,2
102,D015212,2011,2768,2
103,D015212,2008,6774,2
116,D015212,2008,6774,2
133,D015212,2011,3375,2
134,D015212,2008,6774,2
140,D015212,2012,5579,2
142,D015212,2008,6789,2
143,D015212,2008,6789,2
153,D015212,2008,6774,2
154,D015212,2008,6774,2
155,D015212,2012,5579,2
156,D015212,2010,8863,2
157,D015212,2010,8863,2
158,D015212,2008,144811,2
159,D015212,2008,144811,2
178,D015212,2012,114,2
189,D015212,2016,4843,2
203,D015212,2008,144811,2
204,D015212,2008,144811,2
205,D015212,2008,144811,2
211,D015212,2016,4843,2
212,D015212,2016,4843,2
216,D015212,2013,8854,2
217,D015212,2013,8854,2
218,D015212,2013,8854,2
219,D015212,2013,8854,2
220,D015212,2013,8854,2
221,D015212,2013,8854,2
222,D015212,2013,8854,2
223,D015212,2013,8854,2
224,D015212,2013,8854,2
226,D015212,2015,64135,2
229,D015212,2015,64135,2
230,D015212,2015,64135,2
231,D015212,2008,6774,2
248,D015212,2012,114,2
249,D015212,2012,114,2
250,D015212,2012,114,2
251,D015212,2012,114,2
269,D015212,2010,4088,2
270,D015212,2008,144811,2
271,D015212,2008,144811,2
272,D015212,2008,144811,2
284,D015212,2008,4485,2
285,D015212,2008,4485,2
286,D015212,2009,3912,2
287,D015212,2009,3912,2
288,D015212,2009,3912,2
291,D015212,2008,120892,2
292,D015212,2008,120892,2
293,D015212,2008,120892,2
